iter	Passed	Remaining
156	17778	95462
157	17878	95274
158	17996	95187
159	18106	95058
160	18218	94942
161	18318	94759
162	18453	94760
163	18550	94561
164	18681	94539
165	18796	94434
166	18909	94322
167	19008	94136
168	19134	94087
169	19239	93932
170	19347	93794
171	19449	93631
172	19536	93393
173	19659	93328
174	19742	93070
175	19836	92872
176	19963	92823
177	20064	92658
178	20172	92523
179	20263	92309
180	20383	92233
181	20475	92025
182	20572	91845
183	20687	91745
184	20777	91534
185	20876	91361
186	20971	91176
187	21089	91090
188	21186	90909
189	21304	90826
190	21406	90667
191	21518	90558
192	21635	90464
193	21730	90282
194	21823	90093
195	21961	90088
196	22076	89985
197	22196	89907
198	22293	89736
199	22408	89635
200	22525	89542
201	22634	89416
202	22743	89291
203	22861	89205
204	22983	89130
205	23091	89004
206	23226	88978
207	23330	88837
208	23419	88636
209	23511	88448
210	23643	88409
211	23750	88281
212	23866	88183
213	23967	88030
214	24068	87877
215	24175	87747
216	24274	87590
217	24379	87454
218	24515	87426
219	24639	87357
220	24740	87205
221	24827	87007
222	24912	86803
223	25025	86696
224	25137	86583
225	25260	86510
226	25350	86326
227	25467	86232
228	25588	86152
229	25691	86010
230	25798	85881
231	25891	85708
232	26001	85591
233	26148	85597
234	26274	85532
235	26385	85417
236	26495	85299
237	26595	85150
238	26716	85067
239	26810	84899
240	26937	84835
241	27027	84655
242	27141	84552
243	27253	84440
244	27353	84293
245	27445	84121
246	27559	84017
247	27622	83759
248	27710	83576
249	27809	83428
250	27934	83359
251	28052	83267
252	28183	83214
253	28302	83125
254	28393	82952
255	28472	82748
256	28603	82693
257	28717	82591
258	28806	82415
259	28929	82338
260	29044	82237
261	29153	82119
262	29236	81929
263	29364	81863
264	29501	81825
265	29593	81659
266	29656	81415
267	29758	81280
268	29840	81089
269	29943	80957
270	30070	80891
271	30174	80761
272	30275	80624
273	30381	80498
274	30474	80342
275	30601	80273
276	30706	80146
277	30789	79965
278	30877	79794
279	30973	79646
280	31055	79463
281	31193	79422
282	31313	79334
283	31407	79181
284	31525	79089
285	31657	79033
286	31779	78950
287	31884	78825
288	31971	78657
289	32056	78482
290	32152	78337
291	32260	78221
292	32375	78120
293	32473	77980
294	32554	77800
295	32660	77679
296	32724	77459
297	32824	77324
298	32944	77238
299	33060	77142
300	33180	77054
301	33266	76887
302	33353	76724
303	33470	76629
304	33586	76532
305	33700	76431
306	33804	76308
307	33887	76135
308	33982	75994
309	34101	75903
310	34213	75798
311	34327	75695
312	34437	75587
313	34585	75558
314	34692	75443
315	34817	75363
316	34921	75241
317	35037	75142
318	35184	75112
319	35338	75093
320	35434	74953
321	35563	74882
322	35731	74892
323	35862	74824
324	35957	74680
325	36046	74526
326	36137	74375
327	36273	74316
328	36383	74204
329	36474	74053
330	36581	73935
331	36664	73769
332	36754	73619
333	36880	73540
334	36983	73415
335	37089	73295
336	37208	73203
337	37325	73104
338	37413	72951
339	37513	72820
340	37607	72677
341	37700	72535
342	37829	72460
343	37914	72302
344	38030	72201
345	38122	72057
346	38227	71937
347	38353	71857
348	38476	71772
349	38574	71637
350	38681	71521
351	38766	71364
352	38850	71207
353	38953	71084
354	39058	70964
355	39155	70831
356	39238	70673
357	39320	70513
358	39413	70373
359	39527	70271
360	39591	70079
361	39694	69959
362	39823	69883
363	39924	69758
364	40019	69623
365	40152	69554
366	40261	69442
367	40368	69329
368	40464	69195
369	40551	69046
370	40658	68932
371	40747	68789
372	40849	68665
373	40942	68529
374	41051	68419
375	41160	68309
376	41290	68234
377	41364	68065
378	41458	67930
379	41577	67836
380	41639	67650
381	41749	67542
382	41841	67405
383	41930	67263
384	42020	67124
385	42081	66938
386	42202	66847
387	42311	66738
388	42431	66647
389	42563	66573
390	42686	66486
391	42761	66324
392	42887	66240
393	42984	66113
394	43102	66017
395	43214	65912
396	43324	65805
397	43451	65722
398	43541	65585
399	43655	65483
400	43748	65350
401	43827	65195
402	43936	65087
403	44042	64973
404	44146	64856
405	44262	64758
406	44364	64639
407	44451	64498
408	44583	64422
409	44717	64349
410	44865	64295
411	44967	64176
412	45053	64035
413	45150	63908
414	45256	63795
415	45392	63723
416	45490	63599
417	45599	63490
418	45688	63353
419	45827	63285
420	45922	63156
421	46012	63022
422	46125	62917
423	46268	62854
424	46347	62705
425	46438	62572
426	46532	62442
427	46656	62354
428	46754	62230
429	46878	62141
430	46968	62007
431	47062	61878
432	47159	61753
433	47242	61610
434	47344	61494
435	47447	61377
436	47531	61236
437	47613	61092
438	47697	60952
439	47784	60817
440	47884	60697
441	47975	60566
442	48065	60433
443	48149	60295
444	48266	60197
445	48380	60096
446	48457	59948
447	48540	59808
448	48642	59692
449	48721	59548
450	48802	59406
451	48900	59285
452	49022	59194
453	49107	59059
454	49202	58934
455	49315	58832
456	49425	58726
457	49535	58620
458	49643	58511
459	49732	58381
460	49818	58247
461	49917	58128
462	49999	57990
463	50092	57865
464	50202	57759
465	50301	57641
466	50395	57518
467	50505	57411
468	50604	57294
469	50711	57184
470	50804	57060
471	50902	56941
472	51022	56847
473	51117	56725
474	51207	56597
475	51334	56511
476	51446	56407
477	51557	56303
478	51677	56208
479	51800	56117
480	51929	56032
481	52050	55938
482	52141	55811
483	52250	55705
484	52343	55581
485	52490	55514
486	52585	55393
487	52693	55284
488	52791	55166
489	52878	55036
490	53008	54952
491	53112	54839
492	53198	54708
493	53309	54604
494	53424	54504
495	53526	54389
496	53672	54320
497	53777	54208
498	53900	54116
499	53994	53994
500	54162	53946
501	54326	53893
502	54438	53789
503	54560	53694
504	54672	53590
505	54756	53458
506	54848	53333
507	54968	53236
508	55056	53109
509	55159	52996
510	55278	52898
511	55366	52771
512	55469	52657
513	55548	52522
514	55650	52408
515	55765	52306
516	55853	52180
517	55936	52048
518	56044	51941
519	56136	51817
520	56231	51698
521	56323	51575
522	56399	51439
523	56479	51305
524	56568	51181
525	56664	51062
526	56750	50935
527	56875	50843
528	56991	50743
529	57090	50627
530	57201	50522
531	57320	50424
532	57425	50314
533	57514	50190
534	57624	50085
535	57745	49988
536	57875	49899
537	57980	49790
538	58095	49687
539	58180	49561
540	58281	49447
541	58394	49344
542	58519	49250
543	58624	49141
544	58722	49024
545	58833	48920
546	58928	48801
547	59009	48671
548	59084	48537
549	59191	48429
550	59280	48306
551	59378	48191
552	59462	48064
553	59559	47948
554	59645	47824
555	59766	47727
556	59870	47616
557	59981	47511
558	60069	47389
559	60164	47272
560	60244	47143
561	60366	47047
562	60458	46928
563	60549	46807
564	60655	46699
565	60754	46585
566	60877	46490
567	60973	46374
568	61054	46246
569	61139	46122
570	61265	46029
571	61369	45919
572	61469	45807
573	61560	45687
574	61654	45570
575	61764	45465
576	61891	45372
577	62018	45279
578	62141	45184
579	62242	45071
580	62326	44947
581	62444	44848
582	62544	44736
583	62634	44616
584	62738	44506
585	62835	44392
586	62972	44306
587	63067	44189
588	63170	44080
589	63297	43986
590	63414	43885
591	63520	43777
592	63607	43656
593	63740	43566
594	63842	43456
595	63959	43355
596	64120	43283
597	64207	43162
598	64292	43040
599	64413	42942
600	64498	42820
601	64631	42729
602	64749	42629
603	64836	42508
604	64957	42410
605	65086	42316
606	65214	42223
607	65311	42108
608	65416	41999
609	65517	41888
610	65625	41781
611	65713	41661
612	65812	41548
613	65904	41431
614	66004	41319
615	66118	41216
616	66216	41103
617	66316	40991
618	66437	40893
619	66542	40783
620	66640	40671
621	66751	40566
622	66860	40459
623	66966	40351
624	67070	40242
625	67191	40143
626	67282	40026
627	67371	39907
628	67475	39798
629	67562	39679
630	67663	39568
631	67777	39465
632	67881	39356
633	67999	39254
634	68108	39149
635	68195	39030
636	68306	38924
637	68388	38803
638	68489	38692
639	68591	38582
640	68681	38466
641	68778	38352
642	68899	38253
643	68996	38140
644	69097	38030
645	69184	37912
646	69299	37809
647	69392	37694
648	69505	37590
649	69612	37483
650	69718	37375
651	69811	37261
652	69900	37144
653	69998	37033
654	70107	36926
655	70237	36831
656	70348	36726
657	70456	36620
658	70554	36508
659	70640	36390
660	70745	36282
661	70856	36177
662	70965	36071
663	71050	35953
664	71155	35845
665	71278	35746
666	71407	35649
667	71502	35537
668	71580	35415
669	71693	35311
670	71775	35192
671	71876	35082
672	71970	34969
673	72066	34857
674	72165	34746
675	72271	34639
676	72382	34534
677	72507	34435
678	72627	34335
679	72707	34215
680	72816	34109
681	72898	33990
682	72977	33870
683	73070	33757
684	73161	33643
685	73276	33540
686	73356	33421
687	73437	33302
688	73528	33189
689	73633	33081
690	73717	32965
691	73822	32857
692	73946	32758
693	74035	32643
694	74114	32525
695	74220	32417
696	74299	32299
697	74391	32186
698	74477	32070
699	74580	31962
700	74683	31855
701	74770	31740
702	74918	31651
703	75014	31540
704	75121	31433
705	75249	31336
706	75352	31228
707	75468	31125
708	75560	31012
709	75652	30900
710	75760	30794
711	75880	30693
712	75989	30587
713	76107	30485
714	76193	30370
715	76291	30260
716	76418	30162
717	76513	30051
718	76597	29935
719	76673	29817
720	76774	29708
721	76886	29604
722	76999	29500
723	77086	29386
724	77177	29274
725	77281	29166
726	77368	29053
727	77460	28941
728	77552	28829
729	77641	28716
730	77756	28613
731	77871	28510
732	77986	28407
733	78076	28294
734	78205	28196
735	78290	28082
736	78385	27972
737	78513	27873
738	78613	27764
739	78689	27647
740	78782	27536
741	78890	27431
742	78989	27322
743	79108	27220
744	79235	27120
745	79342	27014
746	79433	26903
747	79532	26794
748	79628	26684
749	79725	26575
750	79843	26472
751	79973	26374
752	80083	26269
753	80188	26162
754	80307	26059
755	80421	25956
756	80511	25844
757	80608	25735
758	80707	25626
759	80797	25514
760	80901	25407
761	80990	25296
762	81072	25182
763	81198	25082
764	81304	24975
765	81389	24863
766	81487	24754
767	81601	24650
768	81716	24546
769	81841	24446
770	81935	24336
771	82045	24231
772	82163	24128
773	82256	24018
774	82366	23912
775	82448	23799
776	82562	23695
777	82663	23587
778	82778	23483
779	82850	23368
780	82937	23256
781	83039	23149
782	83131	23038
783	83216	22926
784	83297	22814
785	83399	22706
786	83505	22600
787	83609	22494
788	83722	22389
789	83830	22283
790	83922	22174
791	84003	22061
792	84108	21955
793	84219	21850
794	84328	21745
795	84421	21635
796	84537	21532
797	84640	21425
798	84753	21320
799	84845	21211
800	84946	21104
801	85033	20993
802	85130	20885
803	85253	20783
804	85358	20676
805	85463	20570
806	85581	20467
807	85702	20364
808	85795	20255
809	85912	20152
810	86008	20043
811	86091	19932
812	86199	19826
813	86287	19716
814	86394	19610
815	86479	19500
816	86594	19396
817	86708	19292
818	86786	19179
819	86886	19072
820	87003	18969
821	87094	18859
822	87185	18750
823	87287	18643
824	87369	18532
825	87468	18425
826	87555	18315
827	87631	18203
828	87722	18094
829	87806	17984
830	87902	17876
831	88042	17777
832	88138	17670
833	88240	17563
834	88354	17459
835	88453	17352
836	88542	17243
837	88643	17136
838	88738	17028
839	88842	16922
840	88915	16810
841	89023	16705
842	89099	16593
843	89208	16488
844	89321	16384
845	89443	16281
846	89543	16174
847	89641	16067
848	89743	15961
849	89842	15854
850	89959	15750
851	90071	15646
852	90155	15536
853	90262	15431
854	90338	15320
855	90437	15213
856	90556	15110
857	90642	15001
858	90724	14891
859	90822	14785
860	90941	14681
861	91015	14570
862	91106	14462
863	91195	14354
864	91315	14251
865	91427	14147
866	91547	14043
867	91669	13940
868	91772	13834
869	91869	13727
870	91986	13623
871	92107	13520
872	92215	13415
873	92335	13311
874	92438	13205
875	92568	13103
876	92659	12995
877	92721	12883
878	92837	12779
879	92938	12673
880	93058	12569
881	93148	12462
882	93240	12354
883	93344	12248
884	93438	12141
885	93535	12035
886	93635	11928
887	93736	11822
888	93820	11714
889	93904	11606
890	93977	11496
891	94065	11389
892	94151	11281
893	94234	11173
894	94336	11067
895	94464	10964
896	94567	10858
897	94690	10755
898	94785	10648
899	94875	10541
900	94987	10436
901	95063	10328
902	95153	10221
903	95235	10113
904	95358	10009
905	95449	9903
906	95552	9797
907	95648	9691
908	95724	9582
909	95822	9476
910	95944	9373
911	96058	9268
912	96161	9163
913	96274	9058
914	96359	8951
915	96467	8846
916	96557	8739
917	96652	8633
918	96765	8528
919	96863	8422
920	96964	8317
921	97070	8212
922	97182	8107
923	97277	8001
924	97370	7894
925	97436	7786
926	97557	7682
927	97672	7578
928	97759	7471
929	97847	7364
930	97949	7259
931	98039	7153
932	98146	7048
933	98256	6943
934	98370	6838
935	98489	6734
936	98594	6629
937	98707	6524
938	98813	6419
939	98914	6313
940	99022	6208
941	99122	6103
942	99226	5997
943	99311	5891
944	99398	5785
945	99498	5679
946	99577	5572
947	99680	5467
948	99771	5361
949	99865	5256
950	99984	5151
951	100104	5047
952	100209	4942
953	100311	4836
954	100403	4731
955	100491	4625
956	100598	4520
957	100716	4415
958	100845	4311
959	100977	4207
960	101074	4101
961	101149	3995
962	101237	3889
963	101341	3784
964	101410	3678
965	101496	3572
966	101578	3466
967	101682	3361
968	101775	3255
969	101907	3151
970	102008	3046
971	102082	2940
972	102183	2835
973	102294	2730
974	102416	2626
975	102502	2520
976	102562	2414
977	102640	2308
978	102748	2204
979	102855	2099
980	102945	1993
981	103028	1888
982	103139	1783
983	103217	1678
984	103340	1573
985	103470	1469
986	103568	1364
987	103670	1259
988	103760	1154
989	103857	1049
990	103973	944
991	104080	839
992	104167	734
993	104244	629
994	104361	524
995	104437	419
996	104523	314
997	104625	209
998	104722	104
999	104828	0
